type_id,peso_medio
"Ground Fire",999.7000122070312
"Steel Ground",740
"Dark Ground",699.7000122070312
"Ghost Dragon",650
"Steel Flying",525.2000122070312
"Psychic Dark",490
"Fire Steel",430
"Fighting Steel",421.25
"Fire Dragon",401
"Poison Dragon",393.8333333333333
"Fighting Electric",380.70001220703125
"Dragon Dark",380
"Dragon Electric",345
"Rock Steel",341.625
"Ground Normal",333
"Dragon Fire",330
"Water Dragon",326.75
"Ground Fighting",320
"Grass Ground",310
"Fighting Dragon",303
"Dark Dragon",278.82499980926514
"Steel Dragon",270.52000122070314
"Ice Rock",262.3999938964844
"Rock Fighting",260
"Rock Dark",255
"Steel Fighting",250
"Electric Dragon",242.875
"Dragon Flying",238.1999994913737
"Steel Psychic",235.0285744837352
"Psychic Steel",230
"Psychic Dragon",230
Steel,221.375
"Dragon Ground",195.375
"Fire Water",195
"Rock Fire",194.25
"Rock Electric",187.32499980926514
"Normal Dragon",185
"Fighting Ice",180
"Ground Rock",172.5999959309896
"Fire Ground",172.25
"Water Ice",161.875
"Rock Psychic",161.5
"Dark Ghost",161
"Ghost Ground",160
Ice,159.60000058346324
"Electric Ice",150
Ground,148.73636362769386
"Rock Dragon",148
"Dragon Ice",145.5
"Rock Ground",144.66666666666666
"Fighting Dark",136
"Fairy Steel",133.9500002861023
"Bug Fighting",128.2750015258789
"Rock Ice",125.10000038146973
"Ground Ghost",122.52499961853027
"Ice Fire",120
"Ice Ground",117.76666641235352
"Grass Ice",117.75
"Poison Ground",117
Rock,111.7764705770156
"Ghost Dark",108
"Fighting Water",107.5
"Fire Ghost",101.06000061035157
"Water Dark",97.85000038146973
"Normal Psychic",93.14999961853027
"Dark Ice",93.0999984741211
"Water Ghost",92.66666666666667
"Steel Rock",90
"Psychic Ghost",86.79999923706055
"Fire Flying",85
"Water Steel",84.5
"Grass Dragon",83.24285813740322
"Fire Dark",83
"Fire Rock",81.90000025431316
"Bug Rock",81
"Steel Poison",77.5
"Grass Fighting",77.08000030517579
"Flying Steel",75
"Ground Steel",73.7
"Ice Water",72.17500114440918
"Dark Grass",72.0999984741211
"Ghost Grass",68.4
"Bug Steel",67.63333384195964
"Dark Steel",66.73333326975505
"Dark Flying",65.41428559167045
"Ground Psychic",64.75
Dragon,63.94545446742665
"Grass Psychic",63.75
"Water Psychic",63
"Dragon Normal",63
"Dragon Fighting",62.599998474121094
"Electric Steel",62.32499998807907
"Fire Psychic",62
"Dragon Psychic",61
"Fire Bug",60.5
