name_id,type_id,species,height,weight
Zygarde,"Dragon Ground","Order Pok̩mon",4.5,610
Zweilous,"Dark Dragon","Hostile Pok̩mon",1.4,50
Zubat,"Poison Flying","Bat Pok̩mon",0.8,7.5
Zorua,"Normal Ghost","Spiteful Fox Pok̩mo",0.7,12.5
Zoroark,"Normal Ghost","Baneful Fox Pok̩mon",1.6,73
Zigzagoon,"Dark Normal","Tiny Raccoon Pok̩mo",0.4,17.5
Zeraora,Electric,"Thunderclap Pok̩mon",1.5,44.5
Zekrom,"Dragon Electric","Deep Black Pok̩mon",2.9,345
Zebstrika,Electric,"Thunderbolt Pok̩mon",1.6,79.5
Zarude,"Dark Grass","Rogue Monkey Pok̩mo",1.8,70
Zapdos,"Fighting Flying","Strong Legs Pok̩mon",1.6,58.2
Zangoose,Normal,"Cat Ferret Pok̩mon",1.3,40.3
Zamazenta,"Fighting Steel","Warrior Pok̩mon",2.9,785
Zacian,"Fairy Steel","Warrior Pok̩mon",2.8,355
Yveltal,"Dark Flying","Destruction Pok̩mon",5.8,203
Yungoos,Normal,"Loitering Pok̩mon",0.4,6
Yanmega,"Bug Flying","Ogre Darner Pok̩mon",1.9,51.5
Yanma,"Bug Flying","Clear Wing Pok̩mon",1.2,38
Yamper,Electric,"Puppy Pok̩mon",0.3,13.5
Yamask,"Ground Ghost","Spirit Pok̩mon",0.5,1.5
Xurkitree,Electric,"Glowing Pok̩mon",3.8,100
Xerneas,Fairy,"Life Pok̩mon",3,215
Xatu,"Psychic Flying","Mystic Pok̩mon",1.5,15
Wyrdeer,"Normal Psychic","Big Horn Pok̩mon",1.8,95.1
Wynaut,Psychic,"Bright Pok̩mon",0.6,14
Wurmple,Bug,"Worm Pok̩mon",0.3,3.6
Wugtrio,Water,"Garden Eel Pok̩mon",1.2,5.4
Wormadam,"Bug Steel","Bagworm Pok̩mon",0.5,6.5
Wooper,"Poison Ground","Poison Fish Pok̩mon",0.4,11
Wooloo,Normal,"Sheep Pok̩mon",0.6,6
Woobat,"Psychic Flying","Bat Pok̩mon",0.4,2.1
Wobbuffet,Psychic,"Patient Pok̩mon",1.3,28.5
Wo-Chien,"Dark Grass","Ruinous Pok̩mon",1.5,74.2
Wishiwashi,Water,"Small Fry Pok̩mon",8.2,78.6
Wingull,"Water Flying","Seagull Pok̩mon",0.6,9.5
Wimpod,"Bug Water","Turn Tail Pok̩mon",0.5,12
Wiglett,Water,"Garden Eel Pok̩mon",1.2,1.8
Wigglytuff,"Normal Fairy","Balloon Pok̩mon",1,12
Whismur,Normal,"Whisper Pok̩mon",0.6,16.3
Whiscash,"Water Ground","Whiskers Pok̩mon",0.9,23.6
Whirlipede,"Bug Poison","Curlipede Pok̩mon",1.2,58.5
Whimsicott,"Grass Fairy","Windveiled Pok̩mon",0.7,6.6
Weezing,"Poison Fairy","Poison Gas Pok̩mon",3,16
Weepinbell,"Grass Poison","Flycatcher Pok̩mon",1,6.4
Weedle,"Bug Poison","Hairy Bug Pok̩mon",0.3,3.2
Weavile,"Dark Ice","Sharp Claw Pok̩mon",1.1,34
Wattrel,"Electric Flying","Storm Petrel Pok̩mo",0.4,3.6
Watchog,Normal,"Lookout Pok̩mon",1.1,27
Wartortle,Water,"Turtle Pok̩mon",1,22.5
Walrein,"Ice Water","Ice Break Pok̩mon",1.4,150.6
"Walking Wake","Water Dragon","Paradox Pok̩mon",3.5,280
Wailord,Water,"Float Whale Pok̩mon",14.5,398
Wailmer,Water,"Ball Whale Pok̩mon",2,130
Vulpix,Ice,"Fox Pok̩mon",0.6,9.9
Vullaby,"Dark Flying","Diapered Pok̩mon",0.5,9
Voltorb,"Electric Grass","Sphere Pok̩mon",0.5,13
Volcarona,"Bug Fire","Sun Pok̩mon",1.6,46
Volcanion,"Fire Water","Steam Pok̩mon",1.7,195
Volbeat,Bug,"Firefly Pok̩mon",0.7,17.7
Vivillon,"Bug Flying","Scale Pok̩mon",1.2,17
Virizion,"Grass Fighting","Grassland Pok̩mon",2,200
Vileplume,"Grass Poison","Flower Pok̩mon",1.2,18.6
Vikavolt,"Bug Electric","Stag Beetle Pok̩mon",1.5,45
Vigoroth,Normal,"Wild Monkey Pok̩mon",1.4,46.5
Victreebel,"Grass Poison","Flycatcher Pok̩mon",1.7,15.5
Victini,"Psychic Fire","Victory Pok̩mon",0.4,4
Vibrava,"Ground Dragon","Vibration Pok̩mon",1.1,15.3
Vespiquen,"Bug Flying","Beehive Pok̩mon",1.2,38.5
Venusaur,"Grass Poison","Seed Pok̩mon",2.4,155.5
Venonat,"Bug Poison","Insect Pok̩mon",1,30
Venomoth,"Bug Poison","Poison Moth Pok̩mon",1.5,12.5
Venipede,"Bug Poison","Centipede Pok̩mon",0.4,5.3
Veluza,"Water Psychic","Jettison Pok̩mon",2.5,90
Varoom,"Steel Poison","Single-Cyl Pok̩mon",1,35
Vaporeon,Water,"Bubble Jet Pok̩mon",1,29
Vanilluxe,Ice,"Snowstorm Pok̩mon",1.3,57.5
Vanillite,Ice,"Fresh Snow Pok̩mon",0.4,5.7
Vanillish,Ice,"Icy Snow Pok̩mon",1.1,41
Uxie,Psychic,"Knowledge Pok̩mon",0.3,0.3
Urshifu,"Fighting Water","Wushu Pok̩mon",1.9,105
Ursaring,Normal,"Hibernator Pok̩mon",1.8,125.8
Ursaluna,"Ground Normal","Peat Pok̩mon",2.7,333
Unown,Psychic,"Symbol Pok̩mon",0.5,5
Unfezant,"Normal Flying","Proud Pok̩mon",1.2,29
Umbreon,Dark,"Moonlight Pok̩mon",1,27
Tyrunt,"Rock Dragon","Royal Heir Pok̩mon",0.8,26
Tyrogue,Fighting,"Scuffle Pok̩mon",0.7,21
Tyrantrum,"Rock Dragon","Despot Pok̩mon",2.5,270
Tyranitar,"Rock Dark","Armor Pok̩mon",2.5,255
Typhlosion,"Fire Ghost","Ghost Flame Pok̩mon",1.6,69.8
Tynamo,Electric,"EleFish Pok̩mon",0.2,0.3
Tympole,Water,"Tadpole Pok̩mon",0.5,4.5
Turtwig,Grass,"Tiny Leaf Pok̩mon",0.4,10.2
Turtonator,"Fire Dragon","Blast Turtle Pok̩mo",2,212
